strategy,satisfy
Cn.All.60B.PairX(MFA)@CnCom.Id807044.MFA_Oil_L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807044.MFA_Oil_L1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807044.MFA_V4P5_M_L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.ApIdx_V6L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.BuFu3_V5L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.BuFu3_V5L1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.CnCme_V5L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.CnCme_V5L1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.CnIdxGlb_MRS,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.CnIdxGlb_V6L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.IhIfGlb_MRS,1
Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_Oil_L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_Oil_L1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_V6_All_L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_V6All_L1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.V6E0_All_L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.WxNi_V7L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807045.WxNi_V7L1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807046.TtTf_All_V5L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807046.TtTf_All_V8L1,1
Cn.All.60B.PairX(MFA)@CnCom.Id807055.CnCal_V6L2,0
Cn.All.60B.PairX(MFA)@CnCom.Id807055.CnCal_V6L2N,0
Cn.All.60B.PairX(MFA)@CnCom.PairEx.MFA807025,0
Cn.Com.Tick.Pattern@CnCom.Id507125.1MPoint1,0
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_P,0
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_C,0
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,0
Cn.Com.U16.Pattern@CnCom.Id007104.C_C,0
Cn.Com.U16.Pattern@CnCom.Id007104.D_M,0
Cn.Com.U16.Pattern@CnCom.Id007123.B,0
Cn.Com.U16.Pattern@CnCom.Id007124.B,0
Cn.Com.U21.CPA@CnCom.Id107215.T_B,0
Global.BMX.60B.PairX(MFA)@BMX.Id807012.MFA,1
Global.BMX.60B.PairX(MFA)@BMX.Id807012.MFA_XxxBtc,0
Global.BMX.60B.PairX(MFA)@BMX.Id807012.XxxBtc_L1,0
Global.BMX.60B.PairX(MFA)@BMX.Id807033.UsdBtc_L1,0
Global.BMX.60B.PairX(MFA)@BMX.Id807045.BmxBnXxxL1,0
Global.BMX.60B.PairX(MFA)@BMX.Id807045.BmxXBnV9L1,0
Global.BMX.60B.PairX(MFA)@BMX.Id807045.UsdBtc_L1,1
Global.BMX.60B.PairX(MFA)@BMX.Id807045.XxxBtc_L1,0
Global.BN.60B.PairX(MFA)@BN.Id807045.BnBnXxxL1P2,1
Global.BN.60B.PairX(MFA)@BN.Id807045.BnBnXxxV9L1,0
Global.BN.60B.PairX(MFA)@BN.Id807045.BnUsdtV8AllL1,0
Global.BN.60B.PairX(MFA)@BN.Id807045.BnXBnV11L1P1,0
Global.BN.60B.PairX(MFA)@BN.Id807045.BnXBnV11L1P2,1
