,Id,StrategyId,TradingObject,Freq
107,002482_002375@192.168.1.51@41058,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002482_002375,002482,002375",0.05
108,002491_002665@192.168.1.12@30951,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002491_002665,002491,002665",0.046
109,002491_300116@192.168.1.51@41059,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002491_300116,002491,300116",0.029
110,002505_002477@192.168.1.51@41060,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002505_002477,002505,002477",0.027
111,002506_002281@192.168.1.12@30952,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002506_002281,002506,002281",0.104
112,002506_002281@192.168.1.51@41061,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002506_002281,002506,002281",0.051
113,002506_002414@192.168.1.12@30953,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002506_002414,002506,002414",0.094
114,002506_002414@192.168.1.51@41062,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002506_002414,002506,002414",0.041
115,002517_002354@192.168.1.51@41063,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002517_002354,002517,002354",0.035
116,002517_002439@192.168.1.12@30954,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002517_002439,002517,002439",0.054
117,002517_002439@192.168.1.51@41064,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002517_002439,002517,002439",0.029
118,002544_002368@192.168.1.12@30955,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002544_002368,002544,002368",0.074
119,002544_002368@192.168.1.51@41065,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002544_002368,002544,002368",0.038
120,002544_002373@192.168.1.12@30956,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002544_002373,002544,002373",0.084
121,002544_002373@192.168.1.51@41066,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002544_002373,002544,002373",0.037
122,002544_002405@192.168.1.12@30957,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002544_002405,002544,002405",0.083
123,002544_002405@192.168.1.51@41067,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002544_002405,002544,002405",0.041
124,002544_002410@192.168.1.12@30958,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002544_002410,002544,002410",0.068
125,002551_300273@192.168.1.12@30959,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002551_300273,002551,300273",0.12
126,002551_300273@192.168.1.51@41068,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002551_300273,002551,300273",0.05
127,002583_002635@192.168.1.51@41069,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002583_002635,002583,002635",0.037
128,002603_002437@192.168.1.51@41070,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002603_002437,002603,002437",0.036
129,002640_600280@192.168.1.12@30960,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002640_600280,002640,600280",0.076
130,002642_002657@192.168.1.12@30961,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002642_002657,002642,002657",0.074
131,002642_002657@192.168.1.51@41071,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002642_002657,002642,002657",0.038
132,002663_002431@192.168.1.12@30962,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002663_002431,002663,002431",0.064
133,002665_300001@192.168.1.12@30963,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002665_300001,002665,300001",0.056
134,002665_300001@192.168.1.51@41072,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002665_300001,002665,300001",0.033
135,002665_300032@192.168.1.51@41073,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002665_300032,002665,300032",0.026
136,002665_300116@192.168.1.12@30964,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002665_300116,002665,300116",0.036
137,002665_300116@192.168.1.51@41074,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002665_300116,002665,300116",0.026
138,002690_002551@192.168.1.51@41075,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002690_002551,002690,002551",0.038
139,002690_300273@192.168.1.51@41076,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002690_300273,002690,300273",0.039
140,002707_002400@192.168.1.12@30965,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002707_002400,002707,002400",0.076
141,002707_002400@192.168.1.51@41077,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002707_002400,002707,002400",0.031
142,002707_300058@192.168.1.12@30966,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002707_300058,002707,300058",0.072
143,002707_300058@192.168.1.51@41078,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002707_300058,002707,300058",0.034
144,002745_002583@192.168.1.12@30967,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002745_002583,002745,002583",0.068
145,002815_300088@192.168.1.51@41079,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002815_300088,002815,300088",0.04
146,300010_002657@192.168.1.12@30968,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"300010_002657,300010,002657",0.07
147,300010_002657@192.168.1.51@41080,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"300010_002657,300010,002657",0.028
148,300043_300113@192.168.1.12@30969,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"300043_300113,300043,300113",0.07
149,300147_300199@192.168.1.51@41081,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"300147_300199,300147,300199",0.043
150,300291_300133@192.168.1.12@30970,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"300291_300133,300291,300133",0.062
151,300297_300182@192.168.1.12@30971,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"300297_300182,300297,300182",0.065
152,300297_300287@192.168.1.51@41082,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"300297_300287,300297,300287",0.036
153,600006_601127@192.168.1.51@41083,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600006_601127,600006,601127",0.044
154,600017_600026@192.168.1.51@41084,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600017_600026,600017,600026",0.047
155,600017_600428@192.168.1.51@41085,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600017_600428,600017,600428",0.055
156,600022_000761@192.168.1.12@30972,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600022_000761,600022,000761",0.11
157,600022_000761@192.168.1.51@41086,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600022_000761,600022,000761",0.061
158,600022_000825@192.168.1.12@30973,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600022_000825,600022,000825",0.097
159,600022_000825@192.168.1.51@41087,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600022_000825,600022,000825",0.047
160,600026_600428@192.168.1.12@30974,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600026_600428,600026,600428",0.076
161,600026_600428@192.168.1.51@41088,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600026_600428,600026,600428",0.037
162,600059_603369@192.168.1.51@41089,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600059_603369,600059,603369",0.057
163,600079_600056@192.168.1.51@41090,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600079_600056,600079,600056",0.045
164,600086_000587@192.168.1.12@30975,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600086_000587,600086,000587",0.029
165,600094_600064@192.168.1.51@41091,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600094_600064,600094,600064",0.036
166,600094_600266@192.168.1.12@30976,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600094_600266,600094,600266",0.071
167,600108_600598@192.168.1.51@41092,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600108_600598,600108,600598",0.043
168,600120_600335@192.168.1.12@30977,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600120_600335,600120,600335",0.062
169,600122_002640@192.168.1.12@30978,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600122_002640,600122,002640",0.088
170,600151_600366@192.168.1.12@30979,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600151_600366,600151,600366",0.089
171,600166_600006@192.168.1.51@41093,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600166_600006,600166,600006",0.045
172,600166_600418@192.168.1.51@41094,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600166_600418,600166,600418",0.042
173,600169_002551@192.168.1.12@30980,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600169_002551,600169,002551",0.101
174,600169_002551@192.168.1.51@41095,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600169_002551,600169,002551",0.048
175,600169_002690@192.168.1.12@30981,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600169_002690,600169,002690",0.111
176,600169_002690@192.168.1.51@41096,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600169_002690,600169,002690",0.046
177,600169_300273@192.168.1.12@30982,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600169_300273,600169,300273",0.099
178,600169_300273@192.168.1.51@41097,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600169_300273,600169,300273",0.047
179,600184_002551@192.168.1.51@41098,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600184_002551,600184,002551",0.038
180,600184_002690@192.168.1.12@30983,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600184_002690,600184,002690",0.094
181,600184_300273@192.168.1.12@30984,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600184_300273,600184,300273",0.088
182,600184_300273@192.168.1.51@41099,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"600184_300273,600184,300273",0.04
183,600184_600169@192.168.1.12@30985,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600184_600169,600184,600169",0.098
184,600201_600195@192.168.1.12@30986,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"600201_600195,600201,600195",0.093
